depth,GR,LN(RES),NPHI,RHOB,FTEMP,FPRESS,SP
12226,86.0669,2.5026,0.438305,2.3891,216.8347,6414.679,57.7099
12226.5,85.8324,2.6874,0.440754,2.3705,216.8434,6414.941,57.7062
12227,83.2884,3.1196,0.452673,2.3829,216.8522,6415.204,57.7031
12227.5,77.9761,3.8299,0.448042,2.3953,216.8609,6415.466,58.0093
12228,68.5099,5.0349,0.447581,2.4092,216.8697,6415.729,58.4692
12228.5,60.1976,6.1237,0.444804,2.4131,216.8784,6415.991,58.4655
12229,47.5006,7.2146,0.395911,2.4053,216.8872,6416.253,57.5364
12229.5,44.9585,8.3055,0.316679,2.3798,216.8959,6416.516,56.6074
12230,51.1837,9.3964,0.237447,2.3612,216.9047,6416.778,55.9877
12230.5,56.4877,10.5032,0.203423,2.3365,216.9134,6417.04,55.5216
12231,61.7907,10.6572,0.201572,2.3341,216.9222,6417.302,55.3642
12231.5,64.7861,10.5328,0.202965,2.3458,216.9309,6417.564,55.3611
12232,65.2439,10.0376,0.20899,2.3643,216.9397,6417.827,55.358
12232.5,61.7769,9.3569,0.212699,2.4116,216.9484,6418.089,55.2006
12233,62.9261,8.7381,0.216408,2.475,216.9572,6418.352,55.1975
12233.5,63.8454,8.6447,0.225677,2.5385,216.9659,6418.614,55.6573
12234,63.8399,8.9841,0.230312,2.5091,216.9747,6418.876,56.5802
12234.5,61.7583,9.6018,0.234021,2.4859,216.9834,6419.139,57.195
12235,59.2152,10.5606,0.224294,2.4572,216.9922,6419.401,57.1913
12235.5,54.5952,11.7104,0.214566,2.3829,217.0009,6419.664,56.4166
12236,49.0521,12.8602,0.207619,2.3682,217.0097,6419.926,55.4875
12236.5,44.8936,14.0099,0.203915,2.3543,217.0184,6420.188,54.8671
12237,42.8121,14.8229,0.203453,2.3365,217.0272,6420.451,55.0777
12237.5,41.8844,14.4512,0.205773,2.3164,217.0359,6420.713,55.3245
12238,42.5721,13.8942,0.210871,2.3025,217.0447,6420.975,55.4751
12238.5,44.6444,13.43,0.222457,2.3025,217.0534,6421.238,55.472
12239,47.8705,12.7802,0.213193,2.3141,217.0622,6421.5,55.4689
12239.5,50.6351,12.5014,0.191419,2.3334,217.0709,6421.762,55.3115
12240,52.7074,12.3153,0.190494,2.3652,217.0797,6422.024,55.4628
12240.5,53.6268,12.2219,0.192814,2.4194,217.0884,6422.287,56.2313
12241,51.0827,12.2213,0.196522,2.431,217.0972,6422.549,56.6917
12241.5,46.9243,12.1589,0.197451,2.4248,217.1059,6422.812,56.8426
12242,47.3812,12.0964,0.200233,2.4047,217.1147,6423.074,56.4844
12242.5,47.839,11.6321,0.204869,2.3791,217.1234,6423.336,56.0646
12243,46.4488,10.4259,0.213211,2.3451,217.1322,6423.599,55.5985
12243.5,44.1365,9.498,0.223406,2.3265,217.1409,6423.861,55.2868
12244,49.9011,8.6009,0.236845,2.3606,217.1497,6424.123,55.2837
12244.5,57.2811,7.5493,0.25121,2.4024,217.1584,6424.385,55.2806
12245,64.6611,6.6522,0.271599,2.4426,217.1672,6424.648,56.2034
12245.5,71.8103,5.7861,0.305423,2.479,217.1759,6424.91,57.1262
12246,79.1903,5.0745,0.316082,2.5247,217.1847,6425.172,57.2781
12246.5,81.9549,4.5174,0.311914,2.5347,217.1934,6425.435,57.12
12247,82.1819,4.0222,0.31238,2.5564,217.2022,6425.697,56.8083
12247.5,86.561,3.6816,0.333063,2.5587,217.2109,6425.959,56.9601
12248,91.4025,3.4955,0.3592,2.5533,217.2197,6426.222,57.5743
12248.5,94.8594,3.3094,0.386615,2.5549,217.2284,6426.484,57.7255
12249,96.701,3.1851,0.409492,2.5688,217.2372,6426.747,57.7218
12249.5,98.5425,3.0917,0.422481,2.551,217.2459,6427.009,57.7187
12250,98.3071,3.0602,0.412008,2.5317,217.2547,6427.271,57.7156
12250.5,95.9948,3.0287,0.394404,2.5216,217.2634,6427.534,57.7125
12251,92.2978,2.9662,0.38514,2.5495,217.2722,6427.796,57.7094
12251.5,89.7547,2.9656,0.380046,2.5541,217.2809,6428.059,58.1693
12252,88.5962,2.996,0.371708,2.5348,217.2897,6428.321,58.4755
12252.5,90.4387,3.0571,0.364761,2.5379,217.2984,6428.583,58.6267
12253,87.4331,3.0875,0.36847,2.5464,217.3072,6428.845,58.3143
12253.5,85.3516,3.1487,0.366619,2.5301,217.3159,6429.107,58.1569
12254,84.8854,3.2099,0.371718,2.5379,217.3247,6429.37,58.1538
12254.5,84.1885,3.3328,0.372183,2.5038,217.3334,6429.632,58.4594
12255,81.4146,3.4559,0.358749,2.5147,217.3422,6429.895,58.7655
12255.5,83.4869,3.6407,0.335122,2.5108,217.3509,6430.157,58.7618
12256,86.713,3.7947,0.312422,2.5263,217.3597,6430.419,58.4501
12256.5,88.093,4.0104,0.292501,2.5271,217.3684,6430.682,58.2927
12257,88.3192,4.1953,0.274434,2.5289,217.3772,6430.944,58.1352
12257.5,89.6992,4.3801,0.267486,2.5431,217.3859,6431.206,58.1321
12258,90.157,4.5031,0.274439,2.5402,217.3947,6431.468,58.2834
12258.5,90.613,4.4407,0.292511,2.5232,217.4034,6431.731,58.2803
12259,92.2237,4.1928,0.29483,2.5039,217.4122,6431.993,58.1229
12259.5,95.2191,4.0067,0.285566,2.4814,217.4209,6432.255,57.6568
12260,96.8308,3.7588,0.249892,2.5132,217.4297,6432.518,57.1914
12260.5,97.2886,3.449,0.234605,2.5557,217.4384,6432.781,57.0339
12261,97.0523,3.2939,0.232754,2.5921,217.4472,6433.043,57.1852
12261.5,97.74,3.1387,0.239243,2.613,217.4559,6433.305,57.645
12262,100.5045,3.0145,0.242951,2.5743,217.4647,6433.567,58.2592
12262.5,100.0384,2.9212,0.228591,2.5472,217.4734,6433.83,58.5654
12263,95.6491,2.8896,0.226276,2.5619,217.4822,6434.092,58.7166
12263.5,97.0291,2.9201,0.232302,2.5558,217.4909,6434.354,58.5586
12264,95.8706,3.0739,0.223965,2.5736,217.4997,6434.617,58.0925
12264.5,93.3276,3.4133,0.217944,2.548,217.5084,6434.879,58.2444
12265,86.2218,3.7836,0.21007,2.5565,217.5172,6435.142,58.5493
12265.5,77.6257,4.3085,0.204512,2.5091,217.5259,6435.404,58.8554
12266,63.3134,5.1425,0.198028,2.4586,217.5347,6435.666,58.6974
12266.5,55.4626,5.791,0.186448,2.4082,217.5434,6435.928,58.2313
12267,48.5349,6.625,0.177183,2.3645,217.5522,6436.191,57.9196
12267.5,45.2995,7.3354,0.161432,2.3239,217.5609,6436.453,57.4535
12268,45.7564,7.8602,0.151705,2.2934,217.5697,6436.715,57.1418
12268.5,46.9065,8.4469,0.146148,2.2779,217.5784,6436.978,57.6023
12269,46.6702,8.7245,0.143833,2.3066,217.5872,6437.24,58.2159
12269.5,46.4357,8.755,0.148469,2.3391,217.5959,6437.502,58.3677
12270,48.2763,8.6306,0.152641,2.3786,217.6047,6437.765,57.901
12270.5,51.7332,8.4445,0.15774,2.4173,217.6134,6438.027,57.435
12271,56.8055,8.2275,0.165155,2.4521,217.6222,6438.289,57.1232
12271.5,62.8009,7.9486,0.186007,2.4645,217.6309,6438.551,57.1201
12272,68.1039,7.608,0.212882,2.442,217.6397,6438.814,57.7343
12272.5,74.0993,7.3601,0.2291,2.4242,217.6484,6439.077,58.3485
12273,78.2485,7.0194,0.243929,2.4583,217.6572,6439.339,58.5004
12273.5,73.167,6.8024,0.249491,2.48,217.6659,6439.602,58.188
12274,72.9325,6.7091,0.252737,2.4933,217.6747,6439.864,58.0306
12274.5,75.6962,6.6776,0.254129,2.504,217.6834,6440.126,58.0275
12275,77.5386,6.8624,0.241158,2.497,217.6922,6440.388,58.1793
12275.5,75.9177,7.109,0.227724,2.5102,217.7009,6440.65,58.1756
12276,73.8361,7.3557,0.235603,2.5133,217.7097,6440.913,58.6355
12276.5,72.9084,7.5097,0.231899,2.5241,217.7184,6441.175,58.941
12277,73.3653,7.4781,0.237461,2.5326,217.7272,6441.438,58.7836
12277.5,77.7453,7.3848,0.235146,2.5504,217.7359,6441.7,58.1632
12278,78.6637,7.2296,0.235613,2.5535,217.7447,6441.962,58.0058
12278.5,80.0437,6.9508,0.241638,2.5388,217.7534,6442.225,58.1576
12279,86.2699,6.6101,0.25137,2.5256,217.7622,6442.487,58.4626
12279.5,89.2652,6.4858,0.268052,2.5141,217.7709,6442.749,58.7687
12280,86.4914,6.3616,0.281491,2.5218,217.7797,6443.011,58.92
12280.5,79.5646,6.2373,0.291223,2.504,217.7884,6443.274,58.7619
12281,72.6369,6.2035,0.298175,2.4878,217.7971,6443.536,58.1415
12281.5,74.7092,6.1104,0.300494,2.4909,217.8059,6443.798,57.8304
12282,77.7046,5.9881,0.294936,2.4808,217.8147,6444.061,58.1568
12282.5,81.3922,5.8948,0.282892,2.4847,217.8234,6444.323,58.5958
12283,87.1568,5.8325,0.262508,2.4762,217.8322,6444.585,58.7471
12283.5,87.1522,5.9554,0.243051,2.4847,217.8409,6444.848,58.589
12284,85.5322,5.8311,0.25371,2.4545,217.8497,6445.11,58.123
12284.5,82.066,5.7068,0.266685,2.4298,217.8584,6445.373,57.9655
12285,69.8306,5.5827,0.269931,2.4321,217.8672,6445.635,58.2717
12285.5,57.826,5.4584,0.259276,2.4452,217.8759,6445.897,58.731
12286,55.0521,5.3342,0.268082,2.4383,217.8847,6446.16,58.7279
12286.5,53.4321,5.2408,0.283374,2.4453,217.8934,6446.422,58.5704
12287,52.7352,5.1165,0.307932,2.4638,217.9022,6446.685,57.9501
12287.5,54.8075,5.1159,0.322298,2.4693,217.9109,6446.947,57.6383
12288,58.9567,5.1462,0.327859,2.4878,217.9196,6447.209,57.4809
12288.5,59.6453,5.1766,0.294966,2.5203,217.9284,6447.471,57.6321
12289,57.5628,5.2378,0.283849,2.5134,217.9372,6447.733,57.9383
12289.5,57.7899,5.4844,0.284314,2.5289,217.9459,6447.996,58.2432
12290,58.016,5.9165,0.277831,2.5126,217.9547,6448.258,58.5494
12290.5,56.8566,6.3177,0.25791,2.5072,217.9634,6448.521,58.5463
12291,56.3904,6.6572,0.246329,2.4886,217.9722,6448.783,58.0802
12291.5,56.6175,6.8729,0.243088,2.4708,217.9809,6449.045,57.7685
12292,57.5359,6.9959,0.254673,2.453,217.9897,6449.308,58.0746
12292.5,57.7621,7.0882,0.268575,2.4321,217.9984,6449.57,58.5339
12293,57.5257,7.2111,0.28711,2.4066,218.0072,6449.832,58.8394
12293.5,56.598,7.1177,0.296842,2.3811,218.0159,6450.094,58.8363
12294,56.8242,6.9625,0.311208,2.3981,218.0247,6450.357,58.6789
12294.5,59.5888,6.8074,0.312136,2.4175,218.0334,6450.619,58.3672
12295,62.1226,6.6522,0.304263,2.4376,218.0421,6450.881,58.2098
12295.5,65.118,6.4043,0.301948,2.4538,218.0509,6451.144,58.5153
12296,68.5749,6.1564,0.302414,2.4492,218.0597,6451.406,58.8215
12296.5,73.1856,5.9703,0.300563,2.4879,218.0684,6451.669,59.2813
12297,75.2579,5.846,0.294079,2.5173,218.0771,6451.931,59.7412
12297.5,74.0995,5.7217,0.295471,2.4809,218.0859,6452.193,59.7375
12298,76.1718,5.5975,0.300107,2.4508,218.0947,6452.456,59.5801
12298.5,77.0911,5.5659,0.300109,2.4438,218.1034,6452.718,59.2683
12299,76.8548,5.5035,0.295941,2.4477,218.1122,6452.98,59.1109
12299.5,73.3886,5.4719,0.29965,2.443,218.1209,6453.243,59.2628
12300,71.3071,5.4374,0.298263,2.4361,218.1297,6453.505,59.7226
12300.5,73.6101,5.3098,0.293632,2.4299,218.1384,6453.768,59.263
12301,78.9132,5.1822,0.29178,2.4686,218.1472,6454.03,58.6372
12301.5,81.6778,5.0368,0.29271,2.4756,218.1559,6454.292,58.1717
12302,78.9039,4.8507,0.290396,2.4817,218.1646,6454.554,58.1694
12302.5,76.8224,4.6337,0.286691,2.505,218.1734,6454.817,58.3219
12303,78.8947,4.5094,0.285767,2.4895,218.1822,6455.079,58.4739
12303.5,82.8131,4.4779,0.298279,2.4949,218.1909,6455.341,58.6259
12304,86.0393,4.4463,0.320057,2.5042,218.1996,6455.604,58.4688
12304.5,87.1894,4.4149,0.339519,2.5205,218.2084,6455.866,58.0035
12305,87.4155,4.4761,0.333035,2.5259,218.2171,6456.128,57.8468
12305.5,87.1792,4.599,0.311279,2.5383,218.2259,6456.391,57.8445
12306,86.9438,4.753,0.288561,2.5259,218.2346,6456.653,58.1508
12306.5,85.5546,4.9378,0.283004,2.498,218.2434,6456.915,58.4576
12307,82.9364,5.03,0.271886,2.4601,218.2522,6457.178,58.6096
12307.5,79.7599,5.0604,0.263085,2.4346,218.2609,6457.44,58.1439
12308,76.0795,4.9669,0.251968,2.4517,218.2697,6457.702,57.6786
12308.5,76.3066,4.8735,0.250116,2.4881,218.2784,6457.965,57.2133
12309,76.0703,4.7802,0.256664,2.5214,218.2871,6458.228,57.211
12309.5,70.5272,4.6559,0.262124,2.5515,218.2959,6458.49,57.5178
12310,63.8302,4.5625,0.26824,2.5646,218.3047,6458.752,58.4409
12310.5,60.8256,4.5001,0.274731,2.5607,218.3134,6459.014,58.7477
12311,60.3595,4.4377,0.279368,2.5769,218.3221,6459.276,59.3626
12311.5,60.125,4.437,0.27613,2.5676,218.3309,6459.539,59.206
12312,63.1194,4.4055,0.272427,2.556,218.3396,6459.801,58.895
12312.5,68.6533,4.3121,0.271042,2.5405,218.3484,6460.063,59.0475
12313,76.264,4.1261,0.271048,2.5288,218.3571,6460.326,59.1995
12313.5,86.8748,3.94,0.274295,2.5381,218.3659,6460.588,59.3515
12314,96.1009,3.692,0.28125,2.528,218.3746,6460.851,59.3487
12314.5,100.0194,3.506,0.276621,2.5241,218.3834,6461.113,59.0377
12315,98.1686,3.3508,0.271065,2.5271,218.3922,6461.375,57.9552
12315.5,90.7794,3.2574,0.276631,2.5286,218.4009,6461.637,57.3356
12316,83.6209,3.2259,0.289145,2.5255,218.4096,6461.9,57.6419
12316.5,85.6932,3.2563,0.308146,2.5471,218.4184,6462.162,58.2568
12317,86.151,3.3483,0.33039,2.5618,218.4272,6462.424,58.5636
12317.5,83.3762,3.4714,0.337808,2.5602,218.4359,6462.687,58.4065
12318,75.0639,3.6871,0.294723,2.5664,218.4446,6462.949,57.9412
12318.5,73.6747,3.9338,0.265539,2.5493,218.4534,6463.211,57.3216
12319,74.1316,4.335,0.23589,2.5648,218.4621,6463.474,57.0107
12319.5,75.05,4.6126,0.241919,2.5508,218.4709,6463.736,57.1627
